,Home Team,Home Goals,Away Goals,Away Team,Year,Win
3226,France,0,0,Argentina,1965,0
4610,France,0,1,Argentina,1974,0
6939,France,2,0,Argentina,1986,1
12734,France,0,1,Argentina,2007,0
13459,France,0,2,Argentina,2009,0
884,France,4,3,Argentina,2018,1
